,No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir,date
39,40,2010,1,2,15,154.0,-9,-5.0,1025.0,3,35.75,0,0,2010-01-02 15:00:00
40,41,2010,1,2,16,159.0,-9,-5.0,1026.0,3,37.54,0,0,2010-01-02 16:00:00
41,42,2010,1,2,17,164.0,-8,-5.0,1027.0,3,39.33,0,0,2010-01-02 17:00:00
42,43,2010,1,2,18,170.0,-8,-5.0,1027.0,3,42.46,0,0,2010-01-02 18:00:00
43,44,2010,1,2,19,149.0,-8,-5.0,1028.0,3,44.25,0,0,2010-01-02 19:00:00
44,45,2010,1,2,20,154.0,-7,-5.0,1028.0,3,46.04,0,0,2010-01-02 20:00:00
45,46,2010,1,2,21,164.0,-7,-5.0,1027.0,3,49.17,1,0,2010-01-02 21:00:00
46,47,2010,1,2,22,156.0,-8,-6.0,1028.0,3,52.3,2,0,2010-01-02 22:00:00
47,48,2010,1,2,23,126.0,-8,-6.0,1027.0,3,55.43,3,0,2010-01-02 23:00:00
48,49,2010,1,3,0,90.0,-7,-6.0,1027.0,3,58.56,4,0,2010-01-03 00:00:00
49,50,2010,1,3,1,63.0,-8,-6.0,1026.0,3,61.69,5,0,2010-01-03 01:00:00
50,51,2010,1,3,2,65.0,-8,-7.0,1026.0,3,65.71,6,0,2010-01-03 02:00:00
51,52,2010,1,3,3,55.0,-8,-7.0,1025.0,3,68.84,7,0,2010-01-03 03:00:00
52,53,2010,1,3,4,65.0,-8,-7.0,1024.0,3,72.86,8,0,2010-01-03 04:00:00
53,54,2010,1,3,5,83.0,-9,-8.0,1024.0,3,76.88,9,0,2010-01-03 05:00:00
54,55,2010,1,3,6,91.0,-10,-8.0,1024.0,3,80.9,10,0,2010-01-03 06:00:00
55,56,2010,1,3,7,86.0,-10,-9.0,1024.0,3,84.92,11,0,2010-01-03 07:00:00
56,57,2010,1,3,8,82.0,-10,-9.0,1024.0,3,89.84,12,0,2010-01-03 08:00:00
57,58,2010,1,3,9,86.0,-11,-9.0,1023.0,3,93.86,13,0,2010-01-03 09:00:00
58,59,2010,1,3,10,78.0,-11,-9.0,1023.0,3,97.88,15,0,2010-01-03 10:00:00
59,60,2010,1,3,11,98.0,-11,-9.0,1022.0,3,102.8,16,0,2010-01-03 11:00:00
60,61,2010,1,3,12,107.0,-11,-9.0,1021.0,3,105.93,17,0,2010-01-03 12:00:00
61,62,2010,1,3,13,90.0,-11,-9.0,1020.0,3,111.74,19,0,2010-01-03 13:00:00
62,63,2010,1,3,14,96.0,-11,-9.0,1020.0,3,116.66,20,0,2010-01-03 14:00:00
63,64,2010,1,3,15,95.0,-11,-9.0,1020.0,3,121.58,21,0,2010-01-03 15:00:00
64,65,2010,1,3,16,86.0,-11,-9.0,1020.0,3,124.71,22,0,2010-01-03 16:00:00
65,66,2010,1,3,17,70.0,-11,-9.0,1020.0,3,127.84,23,0,2010-01-03 17:00:00
66,67,2010,1,3,18,61.0,-11,-9.0,1021.0,1,0.89,24,0,2010-01-03 18:00:00
67,68,2010,1,3,19,53.0,-11,-9.0,1022.0,1,1.78,25,0,2010-01-03 19:00:00
68,69,2010,1,3,20,71.0,-10,-9.0,1022.0,0,4.02,26,0,2010-01-03 20:00:00
69,70,2010,1,3,21,72.0,-11,-10.0,1023.0,0,7.15,27,0,2010-01-03 21:00:00
70,71,2010,1,3,22,76.0,-11,-9.0,1023.0,0,11.17,0,0,2010-01-03 22:00:00
71,72,2010,1,3,23,73.0,-12,-11.0,1023.0,0,14.3,0,0,2010-01-03 23:00:00
72,73,2010,1,4,0,79.0,-14,-12.0,1023.0,0,16.09,0,0,2010-01-04 00:00:00
73,74,2010,1,4,1,58.0,-16,-9.0,1023.0,0,21.9,0,0,2010-01-04 01:00:00
74,75,2010,1,4,2,25.0,-17,-10.0,1024.0,0,29.95,0,0,2010-01-04 02:00:00
75,76,2010,1,4,3,26.0,-18,-11.0,1024.0,0,39.78,0,0,2010-01-04 03:00:00
76,77,2010,1,4,4,28.0,-19,-11.0,1025.0,0,48.72,0,0,2010-01-04 04:00:00
77,78,2010,1,4,5,26.0,-20,-12.0,1026.0,0,55.87,0,0,2010-01-04 05:00:00
78,79,2010,1,4,6,20.0,-21,-12.0,1027.0,0,64.81,0,0,2010-01-04 06:00:00
79,80,2010,1,4,7,29.0,-21,-13.0,1027.0,0,73.75,0,0,2010-01-04 07:00:00
80,81,2010,1,4,8,26.0,-22,-13.0,1028.0,0,80.9,0,0,2010-01-04 08:00:00
81,82,2010,1,4,9,27.0,-22,-13.0,1029.0,0,90.73,0,0,2010-01-04 09:00:00
82,83,2010,1,4,10,27.0,-22,-12.0,1030.0,0,100.56,0,0,2010-01-04 10:00:00
83,84,2010,1,4,11,25.0,-23,-12.0,1031.0,0,108.61,0,0,2010-01-04 11:00:00
84,85,2010,1,4,12,29.0,-21,-11.0,1030.0,0,117.55,0,0,2010-01-04 12:00:00
85,86,2010,1,4,13,32.0,-20,-10.0,1030.0,0,127.38,0,0,2010-01-04 13:00:00
86,87,2010,1,4,14,28.0,-21,-10.0,1030.0,0,136.32,0,0,2010-01-04 14:00:00
87,88,2010,1,4,15,29.0,-21,-9.0,1030.0,0,145.26,0,0,2010-01-04 15:00:00
88,89,2010,1,4,16,30.0,-21,-9.0,1031.0,0,152.41,0,0,2010-01-04 16:00:00
89,90,2010,1,4,17,30.0,-20,-11.0,1032.0,0,159.56,0,0,2010-01-04 17:00:00
90,91,2010,1,4,18,28.0,-23,-11.0,1032.0,0,165.37,0,0,2010-01-04 18:00:00
91,92,2010,1,4,19,26.0,-21,-12.0,1033.0,0,171.18,0,0,2010-01-04 19:00:00
92,93,2010,1,4,20,31.0,-24,-12.0,1034.0,0,180.12,0,0,2010-01-04 20:00:00
93,94,2010,1,4,21,33.0,-24,-13.0,1034.0,0,187.27,0,0,2010-01-04 21:00:00
94,95,2010,1,4,22,29.0,-24,-13.0,1035.0,0,195.32,0,0,2010-01-04 22:00:00
95,96,2010,1,4,23,31.0,-26,-15.0,1035.0,0,198.45,0,0,2010-01-04 23:00:00
96,97,2010,1,5,0,30.0,-26,-17.0,1035.0,0,201.58,0,0,2010-01-05 00:00:00
97,98,2010,1,5,1,34.0,-26,-18.0,1035.0,0,205.6,0,0,2010-01-05 01:00:00
98,99,2010,1,5,2,27.0,-26,-19.0,1035.0,0,208.73,0,0,2010-01-05 02:00:00
99,100,2010,1,5,3,25.0,-27,-18.0,1035.0,0,213.65,0,0,2010-01-05 03:00:00
100,101,2010,1,5,4,28.0,-27,-19.0,1035.0,0,218.57,0,0,2010-01-05 04:00:00
101,102,2010,1,5,5,28.0,-27,-16.0,1034.0,2,4.92,0,0,2010-01-05 05:00:00
102,103,2010,1,5,6,27.0,-26,-16.0,1035.0,2,8.05,0,0,2010-01-05 06:00:00
103,104,2010,1,5,7,27.0,-27,-16.0,1034.0,2,13.86,0,0,2010-01-05 07:00:00
104,105,2010,1,5,8,27.0,-26,-16.0,1035.0,2,18.78,0,0,2010-01-05 08:00:00
105,106,2010,1,5,9,29.0,-26,-15.0,1035.0,2,24.59,0,0,2010-01-05 09:00:00
106,107,2010,1,5,10,36.0,-25,-14.0,1035.0,2,29.51,0,0,2010-01-05 10:00:00
107,108,2010,1,5,11,30.0,-25,-13.0,1035.0,2,34.43,0,0,2010-01-05 11:00:00
108,109,2010,1,5,12,27.0,-25,-12.0,1034.0,2,39.35,0,0,2010-01-05 12:00:00
109,110,2010,1,5,13,39.0,-24,-11.0,1032.0,2,41.14,0,0,2010-01-05 13:00:00
110,111,2010,1,5,14,41.0,-22,-11.0,1032.0,1,0.89,0,0,2010-01-05 14:00:00
111,112,2010,1,5,15,33.0,-23,-11.0,1031.0,0,1.79,0,0,2010-01-05 15:00:00
112,113,2010,1,5,16,50.0,-24,-11.0,1031.0,0,3.58,0,0,2010-01-05 16:00:00
113,114,2010,1,5,17,56.0,-23,-11.0,1031.0,0,5.37,0,0,2010-01-05 17:00:00
114,115,2010,1,5,18,59.0,-23,-11.0,1032.0,0,7.16,0,0,2010-01-05 18:00:00
115,116,2010,1,5,19,60.0,-22,-13.0,1033.0,0,10.29,0,0,2010-01-05 19:00:00
116,117,2010,1,5,20,84.0,-22,-12.0,1033.0,0,13.42,0,0,2010-01-05 20:00:00
117,118,2010,1,5,21,106.0,-24,-18.0,1033.0,0,16.55,0,0,2010-01-05 21:00:00
118,119,2010,1,5,22,66.0,-22,-13.0,1034.0,0,20.57,0,0,2010-01-05 22:00:00
119,120,2010,1,5,23,50.0,-22,-16.0,1033.0,0,23.7,0,0,2010-01-05 23:00:00
120,121,2010,1,6,0,56.0,-25,-17.0,1033.0,0,26.83,0,0,2010-01-06 00:00:00
121,122,2010,1,6,1,77.0,-25,-14.0,1033.0,2,4.02,0,0,2010-01-06 01:00:00
122,123,2010,1,6,2,50.0,-26,-14.0,1034.0,2,8.04,0,0,2010-01-06 02:00:00
123,124,2010,1,6,3,44.0,-26,-14.0,1033.0,2,13.85,0,0,2010-01-06 03:00:00
124,125,2010,1,6,4,27.0,-26,-14.0,1033.0,2,17.87,0,0,2010-01-06 04:00:00
125,126,2010,1,6,5,28.0,-26,-14.0,1033.0,2,23.68,0,0,2010-01-06 05:00:00
126,127,2010,1,6,6,21.0,-26,-14.0,1033.0,2,28.6,0,0,2010-01-06 06:00:00
127,128,2010,1,6,7,25.0,-26,-15.0,1034.0,2,33.52,0,0,2010-01-06 07:00:00
128,129,2010,1,6,8,20.0,-26,-14.0,1034.0,2,39.33,0,0,2010-01-06 08:00:00
129,130,2010,1,6,9,29.0,-25,-13.0,1035.0,2,44.25,0,0,2010-01-06 09:00:00
130,131,2010,1,6,10,34.0,-25,-12.0,1035.0,2,50.06,0,0,2010-01-06 10:00:00
131,132,2010,1,6,11,42.0,-24,-11.0,1035.0,2,54.98,0,0,2010-01-06 11:00:00
132,133,2010,1,6,12,28.0,-24,-10.0,1034.0,2,59.0,0,0,2010-01-06 12:00:00
133,134,2010,1,6,13,36.0,-22,-10.0,1033.0,0,4.02,0,0,2010-01-06 13:00:00
134,135,2010,1,6,14,48.0,-22,-9.0,1033.0,0,5.81,0,0,2010-01-06 14:00:00
135,136,2010,1,6,15,49.0,-22,-8.0,1033.0,1,0.89,0,0,2010-01-06 15:00:00
136,137,2010,1,6,16,52.0,-22,-8.0,1033.0,0,1.79,0,0,2010-01-06 16:00:00
137,138,2010,1,6,17,56.0,-21,-9.0,1033.0,0,3.58,0,0,2010-01-06 17:00:00
138,139,2010,1,6,18,96.0,-22,-9.0,1033.0,0,5.37,0,0,2010-01-06 18:00:00
139,140,2010,1,6,19,75.0,-22,-14.0,1034.0,1,0.89,0,0,2010-01-06 19:00:00
140,141,2010,1,6,20,105.0,-22,-12.0,1035.0,0,1.79,0,0,2010-01-06 20:00:00
141,142,2010,1,6,21,132.0,-21,-14.0,1034.0,0,3.58,0,0,2010-01-06 21:00:00
142,143,2010,1,6,22,93.0,-22,-16.0,1035.0,0,5.37,0,0,2010-01-06 22:00:00
143,144,2010,1,6,23,131.0,-21,-16.0,1035.0,0,7.16,0,0,2010-01-06 23:00:00
144,145,2010,1,7,0,127.0,-21,-16.0,1035.0,0,8.95,0,0,2010-01-07 00:00:00
145,146,2010,1,7,1,130.0,-21,-16.0,1035.0,1,0.45,0,0,2010-01-07 01:00:00
146,147,2010,1,7,2,43.0,-22,-18.0,1036.0,1,1.34,0,0,2010-01-07 02:00:00
147,148,2010,1,7,3,37.0,-23,-15.0,1036.0,0,4.02,0,0,2010-01-07 03:00:00
148,149,2010,1,7,4,30.0,-24,-16.0,1035.0,0,7.15,0,0,2010-01-07 04:00:00
149,150,2010,1,7,5,28.0,-25,-15.0,1035.0,0,10.28,0,0,2010-01-07 05:00:00
150,151,2010,1,7,6,24.0,-24,-15.0,1035.0,0,14.3,0,0,2010-01-07 06:00:00
151,152,2010,1,7,7,23.0,-25,-13.0,1036.0,2,4.92,0,0,2010-01-07 07:00:00
152,153,2010,1,7,8,24.0,-24,-14.0,1036.0,0,4.02,0,0,2010-01-07 08:00:00
153,154,2010,1,7,9,27.0,-23,-12.0,1036.0,0,8.94,0,0,2010-01-07 09:00:00
154,155,2010,1,7,10,40.0,-22,-11.0,1036.0,0,12.96,0,0,2010-01-07 10:00:00
155,156,2010,1,7,11,42.0,-20,-10.0,1036.0,0,16.09,0,0,2010-01-07 11:00:00
156,157,2010,1,7,12,42.0,-21,-9.0,1035.0,0,19.22,0,0,2010-01-07 12:00:00
157,158,2010,1,7,13,55.0,-21,-8.0,1034.0,0,21.01,0,0,2010-01-07 13:00:00
158,159,2010,1,7,14,52.0,-20,-7.0,1033.0,0,22.8,0,0,2010-01-07 14:00:00
159,160,2010,1,7,15,51.0,-20,-7.0,1032.0,0,24.59,0,0,2010-01-07 15:00:00
160,161,2010,1,7,16,57.0,-18,-8.0,1032.0,0,26.38,0,0,2010-01-07 16:00:00
161,162,2010,1,7,17,50.0,-19,-9.0,1032.0,0,28.17,0,0,2010-01-07 17:00:00
162,163,2010,1,7,18,54.0,-19,-11.0,1032.0,2,0.89,0,0,2010-01-07 18:00:00
163,164,2010,1,7,19,67.0,-18,-11.0,1033.0,0,1.79,0,0,2010-01-07 19:00:00
164,165,2010,1,7,20,106.0,-19,-15.0,1032.0,2,1.79,0,0,2010-01-07 20:00:00
165,166,2010,1,7,21,159.0,-19,-14.0,1032.0,1,0.45,0,0,2010-01-07 21:00:00
166,167,2010,1,7,22,198.0,-21,-14.0,1032.0,1,1.34,0,0,2010-01-07 22:00:00
167,168,2010,1,7,23,190.0,-21,-16.0,1032.0,1,2.23,0,0,2010-01-07 23:00:00
168,169,2010,1,8,0,210.0,-21,-17.0,1031.0,0,1.79,0,0,2010-01-08 00:00:00
169,170,2010,1,8,1,195.0,-19,-16.0,1031.0,0,3.58,0,0,2010-01-08 01:00:00
170,171,2010,1,8,2,275.0,-20,-16.0,1031.0,2,0.89,0,0,2010-01-08 02:00:00
171,172,2010,1,8,3,164.0,-19,-15.0,1030.0,3,0.89,0,0,2010-01-08 03:00:00
172,173,2010,1,8,4,110.0,-18,-15.0,1030.0,1,0.45,0,0,2010-01-08 04:00:00
173,174,2010,1,8,5,100.0,-18,-15.0,1029.0,1,1.34,0,0,2010-01-08 05:00:00
174,175,2010,1,8,6,81.0,-18,-15.0,1029.0,0,1.79,0,0,2010-01-08 06:00:00
175,176,2010,1,8,7,71.0,-16,-13.0,1029.0,2,0.89,0,0,2010-01-08 07:00:00
176,177,2010,1,8,8,66.0,-16,-12.0,1029.0,3,0.89,0,0,2010-01-08 08:00:00
177,178,2010,1,8,9,92.0,-16,-12.0,1030.0,3,1.78,0,0,2010-01-08 09:00:00
178,179,2010,1,8,10,135.0,-17,-10.0,1030.0,2,0.89,0,0,2010-01-08 10:00:00
179,180,2010,1,8,11,155.0,-16,-10.0,1029.0,1,0.89,0,0,2010-01-08 11:00:00
180,181,2010,1,8,12,198.0,-16,-9.0,1028.0,3,3.13,0,0,2010-01-08 12:00:00
181,182,2010,1,8,13,250.0,-15,-8.0,1026.0,3,4.92,0,0,2010-01-08 13:00:00
182,183,2010,1,8,14,200.0,-16,-8.0,1026.0,1,0.89,0,0,2010-01-08 14:00:00
183,184,2010,1,8,15,231.0,-16,-8.0,1025.0,1,1.78,0,0,2010-01-08 15:00:00
184,185,2010,1,8,16,250.0,-16,-8.0,1025.0,1,2.67,0,0,2010-01-08 16:00:00
185,186,2010,1,8,17,212.0,-17,-8.0,1025.0,3,0.89,0,0,2010-01-08 17:00:00
186,187,2010,1,8,18,219.0,-17,-9.0,1026.0,1,0.45,0,0,2010-01-08 18:00:00
187,188,2010,1,8,19,227.0,-17,-11.0,1026.0,1,1.34,0,0,2010-01-08 19:00:00
188,189,2010,1,8,20,226.0,-17,-12.0,1026.0,1,1.79,0,0,2010-01-08 20:00:00
189,190,2010,1,8,21,225.0,-18,-14.0,1027.0,0,1.79,0,0,2010-01-08 21:00:00
190,191,2010,1,8,22,168.0,-16,-9.0,1027.0,0,4.92,0,0,2010-01-08 22:00:00
191,192,2010,1,8,23,169.0,-16,-11.0,1027.0,0,6.71,0,0,2010-01-08 23:00:00
192,193,2010,1,9,0,165.0,-17,-13.0,1027.0,1,0.89,0,0,2010-01-09 00:00:00
193,194,2010,1,9,1,159.0,-17,-13.0,1027.0,0,3.13,0,0,2010-01-09 01:00:00
194,195,2010,1,9,2,167.0,-17,-14.0,1027.0,0,4.92,0,0,2010-01-09 02:00:00
195,196,2010,1,9,3,196.0,-17,-15.0,1027.0,0,8.05,0,0,2010-01-09 03:00:00
196,197,2010,1,9,4,169.0,-17,-13.0,1027.0,0,9.84,0,0,2010-01-09 04:00:00
197,198,2010,1,9,5,155.0,-19,-16.0,1027.0,0,13.86,0,0,2010-01-09 05:00:00
198,199,2010,1,9,6,119.0,-18,-15.0,1027.0,0,17.88,0,0,2010-01-09 06:00:00
199,200,2010,1,9,7,106.0,-19,-15.0,1027.0,0,21.9,0,0,2010-01-09 07:00:00
200,201,2010,1,9,8,93.0,-18,-14.0,1028.0,0,25.92,0,0,2010-01-09 08:00:00
201,202,2010,1,9,9,84.0,-18,-9.0,1029.0,2,5.81,0,0,2010-01-09 09:00:00
202,203,2010,1,9,10,73.0,-17,-7.0,1029.0,2,11.62,0,0,2010-01-09 10:00:00
203,204,2010,1,9,11,66.0,-17,-6.0,1030.0,2,17.43,0,0,2010-01-09 11:00:00
204,205,2010,1,9,12,40.0,-16,-6.0,1029.0,2,23.24,0,0,2010-01-09 12:00:00
205,206,2010,1,9,13,49.0,-16,-5.0,1029.0,2,28.16,0,0,2010-01-09 13:00:00
206,207,2010,1,9,14,50.0,-15,-4.0,1029.0,2,33.08,0,0,2010-01-09 14:00:00
207,208,2010,1,9,15,49.0,-14,-4.0,1028.0,2,37.1,0,0,2010-01-09 15:00:00
208,209,2010,1,9,16,41.0,-15,-4.0,1029.0,2,38.89,0,0,2010-01-09 16:00:00
209,210,2010,1,9,17,37.0,-15,-4.0,1030.0,0,1.79,0,0,2010-01-09 17:00:00
210,211,2010,1,9,18,45.0,-15,-7.0,1030.0,2,3.13,0,0,2010-01-09 18:00:00
211,212,2010,1,9,19,44.0,-15,-6.0,1031.0,0,3.13,0,0,2010-01-09 19:00:00
212,213,2010,1,9,20,54.0,-15,-7.0,1032.0,0,4.92,0,0,2010-01-09 20:00:00
213,214,2010,1,9,21,50.0,-15,-6.0,1032.0,2,3.13,0,0,2010-01-09 21:00:00
214,215,2010,1,9,22,47.0,-15,-8.0,1033.0,1,0.45,0,0,2010-01-09 22:00:00
215,216,2010,1,9,23,66.0,-15,-8.0,1033.0,1,0.9,0,0,2010-01-09 23:00:00
216,217,2010,1,10,0,75.0,-15,-11.0,1033.0,0,0.89,0,0,2010-01-10 00:00:00
217,218,2010,1,10,1,82.0,-17,-13.0,1033.0,0,1.78,0,0,2010-01-10 01:00:00
218,219,2010,1,10,2,66.0,-17,-12.0,1033.0,0,4.91,0,0,2010-01-10 02:00:00
219,220,2010,1,10,3,83.0,-17,-13.0,1033.0,0,8.04,0,0,2010-01-10 03:00:00
220,221,2010,1,10,4,62.0,-19,-14.0,1032.0,0,9.83,0,0,2010-01-10 04:00:00
221,222,2010,1,10,5,40.0,-18,-13.0,1032.0,0,12.96,0,0,2010-01-10 05:00:00
222,223,2010,1,10,6,23.0,-19,-13.0,1032.0,0,16.09,0,0,2010-01-10 06:00:00
223,224,2010,1,10,7,25.0,-19,-14.0,1033.0,0,19.22,0,0,2010-01-10 07:00:00
224,225,2010,1,10,8,27.0,-19,-14.0,1034.0,0,22.35,0,0,2010-01-10 08:00:00
225,226,2010,1,10,9,35.0,-17,-12.0,1033.0,0,24.14,0,0,2010-01-10 09:00:00
226,227,2010,1,10,10,50.0,-16,-7.0,1033.0,2,4.02,0,0,2010-01-10 10:00:00
227,228,2010,1,10,11,70.0,-15,-7.0,1033.0,0,3.13,0,0,2010-01-10 11:00:00
228,229,2010,1,10,12,75.0,-15,-7.0,1032.0,0,6.26,0,0,2010-01-10 12:00:00
229,230,2010,1,10,13,58.0,-14,-6.0,1031.0,0,9.39,0,0,2010-01-10 13:00:00
230,231,2010,1,10,14,70.0,-14,-6.0,1031.0,0,12.52,0,0,2010-01-10 14:00:00
231,232,2010,1,10,15,68.0,-13,-5.0,1030.0,0,14.31,0,0,2010-01-10 15:00:00
232,233,2010,1,10,16,71.0,-14,-5.0,1031.0,0,16.1,0,0,2010-01-10 16:00:00
233,234,2010,1,10,17,88.0,-14,-6.0,1031.0,0,19.23,0,0,2010-01-10 17:00:00
234,235,2010,1,10,18,84.0,-13,-7.0,1032.0,0,23.25,0,0,2010-01-10 18:00:00
235,236,2010,1,10,19,83.0,-15,-6.0,1032.0,0,27.27,0,0,2010-01-10 19:00:00
236,237,2010,1,10,20,66.0,-15,-6.0,1033.0,0,30.4,0,0,2010-01-10 20:00:00
237,238,2010,1,10,21,27.0,-15,-4.0,1034.0,0,35.32,0,0,2010-01-10 21:00:00
238,239,2010,1,10,22,24.0,-16,-4.0,1034.0,0,44.26,0,0,2010-01-10 22:00:00
239,240,2010,1,10,23,22.0,-17,-5.0,1035.0,0,52.31,0,0,2010-01-10 23:00:00
240,241,2010,1,11,0,23.0,-17,-6.0,1035.0,0,60.36,0,0,2010-01-11 00:00:00
241,242,2010,1,11,1,27.0,-17,-8.0,1035.0,1,0.89,0,0,2010-01-11 01:00:00
242,243,2010,1,11,2,23.0,-19,-11.0,1036.0,0,4.02,0,0,2010-01-11 02:00:00
243,244,2010,1,11,3,17.0,-20,-11.0,1036.0,0,8.94,0,0,2010-01-11 03:00:00
244,245,2010,1,11,4,17.0,-21,-11.0,1035.0,2,4.02,0,0,2010-01-11 04:00:00
245,246,2010,1,11,5,16.0,-22,-12.0,1035.0,0,3.13,0,0,2010-01-11 05:00:00
246,247,2010,1,11,6,16.0,-22,-12.0,1035.0,2,4.92,0,0,2010-01-11 06:00:00
247,248,2010,1,11,7,20.0,-22,-13.0,1036.0,0,5.81,0,0,2010-01-11 07:00:00
248,249,2010,1,11,8,20.0,-22,-9.0,1036.0,0,13.86,0,0,2010-01-11 08:00:00
249,250,2010,1,11,9,18.0,-22,-10.0,1036.0,0,21.91,0,0,2010-01-11 09:00:00
250,251,2010,1,11,10,25.0,-22,-9.0,1036.0,0,29.06,0,0,2010-01-11 10:00:00
251,252,2010,1,11,11,26.0,-21,-9.0,1036.0,0,33.08,0,0,2010-01-11 11:00:00
252,253,2010,1,11,12,27.0,-20,-6.0,1035.0,0,42.02,0,0,2010-01-11 12:00:00
253,254,2010,1,11,13,28.0,-19,-5.0,1034.0,0,50.96,0,0,2010-01-11 13:00:00
254,255,2010,1,11,14,15.0,-19,-5.0,1033.0,0,59.01,0,0,2010-01-11 14:00:00
255,256,2010,1,11,15,24.0,-20,-5.0,1033.0,0,66.16,0,0,2010-01-11 15:00:00
256,257,2010,1,11,16,13.0,-20,-5.0,1032.0,0,71.97,0,0,2010-01-11 16:00:00
257,258,2010,1,11,17,13.0,-20,-5.0,1033.0,0,76.89,0,0,2010-01-11 17:00:00
258,259,2010,1,11,18,13.0,-20,-7.0,1033.0,0,81.81,0,0,2010-01-11 18:00:00
259,260,2010,1,11,19,17.0,-22,-7.0,1033.0,0,85.83,0,0,2010-01-11 19:00:00
260,261,2010,1,11,20,20.0,-22,-8.0,1033.0,0,89.85,0,0,2010-01-11 20:00:00
261,262,2010,1,11,21,27.0,-23,-10.0,1033.0,0,91.64,0,0,2010-01-11 21:00:00
